"","vwretd","ewretd","spindx","sprtrn","USGG10YR","t30ret","spTurnover","spTransactionCosts","CompoundAnnualReturn","Min_monthly","Max_monthly","portStdDev_monthly","portVaR","portCVaR","growth_multiplier","wealth_index","peak_wealth_index","drawdown","drawdown_pct"
"2000-11-30",-0.078268,-0.045453,1314.95,-0.080069,0.056095,0.004966,0,0,-0.0341619504404567,-0.078268,0.0982750272825,0.0534420642646075,0.06399061145975,0.078268,0.921732,3143.85922979604,3613.97139534197,-470.112165545926,-0.130081872300332
"2000-12-29",0.0054416423575,0.066751,1320.28,0.004053,0.0529,0.004909,0.111343057,0.0002783576425,-0.0859039249581647,-0.078268,0.0982750272825,0.0496405310594137,0.06399061145975,0.078268,1.0054416423575,3160.96698734692,3613.97139534197,-453.004407995051,-0.125348088969084
"2001-01-31",0.032372,0.053413,1366.01,0.034637,0.05113,0.005243,0,0,-0.00703179479246019,-0.078268,0.0982750272825,0.0487767212900671,0.06399061145975,0.078268,1.032372,3263.29381066131,3613.97139534197,-350.677584680656,-0.0970338573051915
"2001-02-28",-0.090952,-0.044749,1239.94,-0.092291,0.05005,0.003653,0,0,-0.0813056734394015,-0.090952,0.0982750272825,0.0553995508512682,0.0839758,0.090952,0.909048,2966.49071199404,3613.97139534197,-647.480683347924,-0.17916043391557
"2001-03-30",-0.0639204109875,-0.049836,1160.33,-0.064205,0.049065,0.00432,0.085764395,0.0002144109875,-0.216980277005099,-0.090952,0.062594,0.0468730496713533,0.0839758,0.090952,0.9360795890125,2776.87140649278,3613.97139534197,-837.099988849185,-0.231628836334488
"2001-04-30",0.077824,0.084714,1249.46,0.076814,0.051275,0.003864,0,0,-0.128518551494597,-0.090952,0.077824,0.0542888089697074,0.0839758,0.090952,1.077824,2992.97864683168,3613.97139534197,-620.99274851029,-0.171831118893383
"2001-05-31",0.006859,0.017676,1255.82,0.00509,0.053595,0.003183,0,0,-0.102523749958371,-0.090952,0.077824,0.0543423131633686,0.0839758,0.090952,1.006859,3013.5074873703,3613.97139534197,-600.463907971672,-0.166150708537873
"2001-06-29",-0.0246399286025,-0.015803,1224.42,-0.025004,0.053965,0.002778,0.053971441,0.0001349286025,-0.146846370956742,-0.090952,0.077824,0.0534525398641692,0.0839758,0.090952,0.9753600713975,2939.25487803839,3613.97139534197,-674.716517303575,-0.186696695544745
"2001-07-31",-0.009317,-0.00918,1211.23,-0.010772,0.05233,0.002999,0,0,-0.143840644363165,-0.090952,0.077824,0.0534562381133196,0.0839758,0.090952,0.990683,2911.86984033971,3613.97139534197,-702.101555002258,-0.194274242432354
"2001-08-31",-0.063435,-0.043659,1133.58,-0.064108,0.04943,0.002996,0,0,-0.245385455863658,-0.090952,0.077824,0.0498249878433468,0.0839758,0.090952,0.936565,2727.15537701776,3613.97139534197,-886.816018324208,-0.245385455863658
"2001-09-28",-0.0805778102325,-0.124472,1040.94,-0.081723,0.0471,0.00273,0.086724093,0.0002168102325,-0.267894874585359,-0.090952,0.077824,0.0520067809792223,0.085246195627875,0.090952,0.9194221897675,2507.40716857388,3613.97139534197,-1106.56422676809,-0.30619064339976
"2001-10-31",0.01954,0.042117,1059.78,0.018099,0.0441,0.002154,0,0,-0.250501607055827,-0.090952,0.077824,0.053278250133756,0.085246195627875,0.090952,1.01954,2556.40190464781,3613.97139534197,-1057.56949069415,-0.292633608571792
"2001-11-30",0.078787,0.102273,1139.45,0.075176,0.04492,0.001749,0,0,-0.122793694014024,-0.090952,0.078787,0.0574404857136353,0.085246195627875,0.090952,1.078787,2757.8131415093,3613.97139534197,-856.158253832667,-0.236902332690338
"2001-12-31",0.00888577288,0.030572,1148.08,0.007574,0.049015,0.001484,0.066090848,0.00016522712,-0.119788832383376,-0.090952,0.078787,0.0575295666549075,0.085246195627875,0.090952,1.00888577288,2782.31844273023,3613.97139534197,-831.652952611736,-0.230121620133366
"2002-01-31",-0.014324,-0.002527,1130.2,-0.015574,0.05042,0.00139,0,0,-0.159602330505202,-0.090952,0.078787,0.0560330131106963,0.085246195627875,0.090952,0.985676,2742.46451335656,3613.97139534197,-871.506881985403,-0.241149358046576
"2002-02-28",-0.019481,-0.011293,1106.73,-0.020766,0.04955,0.001285,0,0,-0.0935287438118012,-0.0805778102325,0.078787,0.0505135505938372,0.07141624064775,0.0805778102325,0.980519,2689.03856217187,3613.97139534197,-924.932833170103,-0.25593252740247
"2002-03-28",0.03744464523,0.067365,1147.39,0.036739,0.051365,0.001341,0.050941908,0.00012735477,0.00463012101292626,-0.0805778102325,0.078787,0.0485644568112698,0.071149264604625,0.0805778102325,1.03744464523,2789.72865714218,3613.97139534197,-824.242738199788,-0.228071184863873
"2002-04-30",-0.061001,-0.036342,1076.92,-0.061418,0.0524035,0.001546,0,0,-0.124767421210683,-0.0805778102325,0.078787,0.0451346594593092,0.071149264604625,0.0805778102325,0.938999,2619.55241932785,3613.97139534197,-994.418976014118,-0.275159614515992
"2002-05-31",-0.0078,-0.012256,1067.14,-0.009081,0.050637,0.001442,0,0,-0.137510053865774,-0.0805778102325,0.078787,0.0448311402812463,0.071149264604625,0.0805778102325,0.9922,2599.11991045709,3613.97139534197,-1014.85148488488,-0.280813369522767
"2002-06-28",-0.0715186993175,-0.080675,989.81,-0.072465,0.049196,0.001312,0.067879727,0.0001696993175,-0.178963943167278,-0.0805778102325,0.078787,0.0480254275179466,0.07559529922925,0.0805778102325,0.9284813006825,2413.23423509098,3613.97139534197,-1200.73716025098,-0.332248661901035
"2002-07-31",-0.073987,-0.105229,911.62,-0.078995,0.0462765,0.001507,0,0,-0.232559696597359,-0.0805778102325,0.078787,0.050846795607321,0.076952864604625,0.0805778102325,0.926013,2234.68627373931,3613.97139534197,-1379.28512160266,-0.381653580152963
"2002-08-30",0.007061,0.012241,916.07,0.004881,0.0429985,0.001402,0,0,-0.174793848387493,-0.0805778102325,0.078787,0.0495054213742708,0.076952864604625,0.0805778102325,1.007061,2250.46539351818,3613.97139534197,-1363.50600182379,-0.377287436082423
"2002-09-30",-0.10911273387,-0.115309,815.29,-0.110013,0.0386755,0.001414,0.059093548,0.00014773387,-0.20040471006075,-0.10911273387,0.078787,0.0534806363754112,0.0897935802415,0.10911273387,0.89088726613,2004.91096195159,3613.97139534197,-1609.06043339038,-0.445233306346667
"2002-10-31",0.088599,0.073063,885.76,0.086436,0.0374335,0.001334,0,0,-0.146243763822334,-0.10911273387,0.088599,0.0609752897281608,0.0897935802415,0.10911273387,1.088599,2182.54406826954,3613.97139534197,-1431.42732707243,-0.396081532055675
"2002-11-29",0.059019,0.110251,936.31,0.05707,0.0404885,0.001166,0,0,-0.161888236064546,-0.10911273387,0.088599,0.0585363792138074,0.0897935802415,0.10911273387,1.059019,2311.35563663473,3613.97139534197,-1302.61575870723,-0.360438867996069
"2002-12-31",-0.0589628049825,-0.051344,879.82,-0.060333,0.040106,0.001079,0.051521993,0.0001288049825,-0.218252090924472,-0.10911273387,0.088599,0.059497231758134,0.0897935802415,0.10911273387,0.9410371950175,2175.07162498664,3613.97139534197,-1438.89977035533,-0.398149186296804
"2003-01-31",-0.026579,-0.025525,855.7,-0.027415,0.0388925,0.000934,0,0,-0.227971634289351,-0.10911273387,0.088599,0.0595209874470282,0.0897935802415,0.10911273387,0.973421,2117.26039626612,3613.97139534197,-1496.71099907585,-0.414145779074221
"2003-02-28",-0.015246,-0.022303,841.15,-0.017004,0.038261,0.000871,0,0,-0.224637134775538,-0.10911273387,0.088599,0.0595349137492693,0.0897935802415,0.10911273387,0.984754,2084.98064426465,3613.97139534197,-1528.99075107732,-0.423077712526455
"2003-03-31",0.0102051140625,0.005085,848.18,0.008358,0.0374285,0.00102,0.041154375,0.0001028859375,-0.244995349578142,-0.10911273387,0.088599,0.0576628400542529,0.0897935802415,0.10911273387,1.0102051140625,2106.25810955747,3613.97139534197,-1507.7132857845,-0.41719015477759
"2003-04-30",0.082774,0.103509,916.92,0.081044,0.0381595,0.000939,0,0,-0.129392677355485,-0.10911273387,0.088599,0.0633868882140189,0.0897935802415,0.10911273387,1.082774,2280.60151831798,3613.97139534197,-1333.36987702399,-0.36894865264915
"2003-05-30",0.053251,0.096073,963.59,0.050899,0.036029,0.000903,0,0,-0.0758233892535194,-0.10911273387,0.088599,0.0659454471126448,0.0897935802415,0.10911273387,1.053251,2402.04582976993,3613.97139534197,-1211.92556557204,-0.33534453735137
"2003-06-30",0.01269781827,0.007649,974.5,0.011322,0.034416,0.000984,0.047272692,0.00011818173,0.00800267782578068,-0.10911273387,0.088599,0.0625641658712137,0.0897935802415,0.10911273387,1.01269781827,2432.54657119256,3613.97139534197,-1181.42482414941,-0.326904863074495
