"","portRet","turnover","CompoundAnnualReturn","Min_monthly","Max_monthly","portStdDev_monthly","portVaR","portCVaR","growth_multiplier","wealth_index","peak_wealth_index","drawdown","drawdown_pct","monthly_Rf","portSR","monthly_Rm","Rp_minus_Rm","portIR","portBeta","portTR"
"1999-02-26",-0.138308612,0.15,0.423949618328828,-0.145465164,0.17622468,0.112287308488914,0.1415290604,0.145465164,0.861691388,3646.1585394708,4231.39721511387,-585.238675643065,-0.138308612,0.003372,0.283360934506753,-0.031935,-0.106373612,0.227599841263413,1.4613907958238,0.0217722985238392
"1999-03-31",0.082290804,0.16,0.539323726924499,-0.145465164,0.17622468,0.112466634818229,0.1415290604,0.145465164,1.082290804,3946.20385719532,4231.39721511387,-285.193357918547,-0.0673993348816042,0.004076,0.343318115893411,0.038979,0.043311804,0.336438551889103,1.46210990111777,0.0264082974454576
"1999-04-30",0.03718603,0.175,0.461281002674312,-0.145465164,0.17622468,0.11135012597618,0.1415290604,0.145465164,1.03718603,4092.9475122151,4231.39721511387,-138.449702898767,-0.0327196185704917,0.003784,0.30569710961933,0.037559,-0.000372970000000007,0.25412535820657,1.46462301218039,0.023241073903374
"1999-05-28",-0.03503172,0.168,0.479087027664534,-0.145465164,0.17622468,0.110597505140304,0.1415290604,0.145465164,0.96496828,3949.56452099249,4231.39721511387,-281.832694121383,-0.0666051140542235,0.003463,0.316788139017121,-0.023159,-0.01187272,0.276021071882617,1.46543911551604,0.0239081770524433
"1999-06-30",0.039229748,0.178,0.567442623744185,-0.145465164,0.17622468,0.109083250754213,0.1415290604,0.145465164,1.039229748,4104.50494186076,4231.39721511387,-126.892273253107,-0.029988267894082,0.004098,0.365879082175458,0.054431,-0.015201252,0.34177216380968,1.44221214303678,0.0276736538791219
"1999-07-30",0.037728414,0.15,0.53076831038151,-0.145465164,0.17622468,0.108926018052808,0.1415290604,0.145465164,1.037728414,4259.36140357233,4259.36140357233,0,0,0.003658,0.347551143826015,-0.03022,0.067948414,0.337548231806662,1.37636208371053,0.0275053800266041
"1999-08-31",0.058143462,0.154,0.895501986845837,-0.138308612,0.17622468,0.0916334137256676,0.0815063214,0.138308612,1.058143462,4507.0154214852,4507.0154214852,0,0,0.003876,0.598428878402025,-0.005004,0.063147462,0.412515965279201,1.35611748072193,0.0404360844687349
"1999-09-30",-0.070952286,0.188,0.497183432329015,-0.138308612,0.17622468,0.0905423443964597,0.1012626327,0.138308612,0.929047714,4187.23237429358,4507.0154214852,-319.783047191629,-0.070952286,0.003705,0.378307552062966,-0.028079,-0.042873286,0.238765199223395,1.35925340096616,0.0251997549848465
"1999-10-29",0.026781796,0.157,0.398701538464391,-0.138308612,0.17622468,0.0884842181689534,0.1012626327,0.138308612,1.026781796,4299.3739775465,4507.0154214852,-207.641443938702,-0.0460707196493855,0.003581,0.318805463283898,0.064238,-0.037456204,0.166448945861554,1.32593674092008,0.0212749607851518
"1999-11-30",0.115356376,0.204,0.550493831993282,-0.138308612,0.17622468,0.0911722369763476,0.1012626327,0.138308612,1.115356376,4795.33417866497,4795.33417866497,0,0,0.003811,0.408682212214079,0.020822,0.094534376,0.342770611407592,1.31816153461249,0.0282669995456618
